epoch,accuracy,loss,val_accuracy,val_loss
0,0.877447783946991,0.31895875930786133,0.9389750361442566,0.14546415209770203
1,0.9680612683296204,0.10054424405097961,0.9789278507232666,0.07786455750465393
2,0.9799118638038635,0.06177880987524986,0.9922454357147217,0.03565968573093414
3,0.9864152073860168,0.04269428178668022,0.9651045203208923,0.0755813866853714
4,0.9908230304718018,0.03004949912428856,0.9863452315330505,0.03717773035168648
5,0.9918346405029297,0.02700289711356163,0.9929197430610657,0.020900528877973557
6,0.9904617667198181,0.025334961712360382,0.9961227178573608,0.01709018088877201
7,0.9947250485420227,0.018441392108798027,0.9957855939865112,0.01418361160904169
8,0.9930630922317505,0.018441615626215935,0.9974713325500488,0.007764247711747885
9,0.996097981929779,0.013000937178730965,0.9974713325500488,0.009036961011588573
10,0.9970373511314392,0.009369280189275742,0.998651385307312,0.005877599585801363
11,0.9937856793403625,0.01828405074775219,0.9956169724464417,0.011238938197493553
12,0.9971818923950195,0.00852375291287899,0.9989885091781616,0.003836547490209341
13,0.995375394821167,0.0130944037809968,0.9937626719474792,0.01347130537033081
14,0.9981212615966797,0.006031418684870005,0.9994942545890808,0.0028576671611517668
15,0.9979767203330994,0.0059189824387431145,0.9996628165245056,0.0025966826360672712
16,0.9968205690383911,0.00944603607058525,0.9998314380645752,0.0021486440673470497
17,0.9983380436897278,0.004564263857901096,0.9994942545890808,0.0029326132498681545
18,0.9984825253486633,0.004680033307522535,0.999325692653656,0.002630861708894372
19,0.9977599382400513,0.008477667346596718,0.9994942545890808,0.001770791714079678
20,0.9990606307983398,0.0031452709808945656,0.998651385307312,0.00327784800902009
21,0.9989160895347595,0.0036245097871869802,0.9998314380645752,0.000907219247892499
22,0.9996386766433716,0.0014020232483744621,0.999325692653656,0.002139353659003973
23,0.997109591960907,0.008426286280155182,0.999325692653656,0.0021658209152519703
24,0.9992774128913879,0.0028208002913743258,0.9967970252037048,0.009841406717896461
25,0.9992774128913879,0.0023837317712605,0.9967970252037048,0.009117072448134422
26,0.9958089590072632,0.010635212063789368,0.9974713325500488,0.005783181171864271
27,0.9974709153175354,0.007635089103132486,1.0,0.0006550161633640528
28,0.9994218945503235,0.0015558567829430103,1.0,0.0006912201642990112
29,1.0,0.00031770169152878225,0.9998314380645752,0.0006901795277372003
30,1.0,0.0003267523134127259,0.9998314380645752,0.0008424721308983862
31,0.996097981929779,0.010362856090068817,0.9994942545890808,0.0027451624628156424
32,1.0,0.0004621824191417545,0.9996628165245056,0.0014588726917281747
33,1.0,0.0003426905896048993,0.9998314380645752,0.00043909746455028653
34,0.9984102845191956,0.005199085455387831,0.998651385307312,0.006242011208087206
35,0.9989160895347595,0.0026447304990142584,0.9998314380645752,0.00101721181999892
36,0.9979767203330994,0.005531703121960163,0.9998314380645752,0.00108629884198308
37,0.998771607875824,0.0035643347073346376,0.9989885091781616,0.0032436626497656107
38,0.9981212615966797,0.0057312543503940105,0.9998314380645752,0.0007554757175967097
39,1.0,0.00018703614477999508,0.9998314380645752,0.0008122019935399294
40,1.0,0.00013532857701648027,0.9998314380645752,0.0006590334232896566
41,1.0,0.00010998327343259007,0.9998314380645752,0.0006984752253629267
42,0.998771607875824,0.004007495008409023,0.9998314380645752,0.0004663031722884625
43,0.998771607875824,0.004042761866003275,0.9998314380645752,0.0003822143189609051
44,1.0,0.0001462465152144432,0.9998314380645752,0.00029481001547537744
45,0.9995664358139038,0.001959092216566205,0.9989885091781616,0.0028986113611608744
46,0.9983380436897278,0.005812283139675856,0.9994942545890808,0.0019916256424039602
47,0.9986270666122437,0.0034670603927224874,0.9994942545890808,0.0015434948727488518
48,1.0,0.0001448800030630082,0.9998314380645752,0.0003668868448585272
49,0.9994218945503235,0.0014139412669464946,0.998651385307312,0.0038530686870217323
50,0.9998554587364197,0.0006293158512562513,0.9998314380645752,0.0005864877020940185
51,0.9951586127281189,0.018454402685165405,0.9996628165245056,0.0008240524330176413
52,1.0,0.0002647508808877319,0.9998314380645752,0.0004990922752767801
53,0.9999277591705322,0.0003066041099373251,0.9998314380645752,0.00037134572630748153
54,0.9999277591705322,0.0003430165525060147,0.997302770614624,0.010764071717858315
55,0.9996386766433716,0.001057837507687509,0.9996628165245056,0.0013711359351873398
56,0.9989883899688721,0.0028112020809203386,0.9998314380645752,0.0005956711829639971
57,1.0,0.00013966030383016914,1.0,0.00015402202552650124
58,1.0,9.543494525132701e-05,1.0,0.00016911434067878872
59,1.0,6.4592641138006e-05,1.0,0.00016912042337935418
